ZipCode,Latitude,Longitude
10001,40.7506,-73.9971
10002,40.7156,-73.9860
10003,40.7316,-73.9891
10004,40.7045,-74.0145
10005,40.7062,-74.0087
10006,40.7090,-74.0127
10007,40.7136,-74.0074
10008,40.7107,-74.0020
10009,40.7263,-73.9785
10010,40.7388,-73.9818
10011,40.7407,-74.0015
10012,40.7255,-73.9983
10013,40.7201,-74.0038
10014,40.7348,-74.0066
10016,40.7453,-73.9787
10017,40.7520,-73.9735
10018,40.7549,-73.9925
10019,40.7654,-73.9877
10020,40.7587,-73.9787
10021,40.7688,-73.9593
10022,40.7577,-73.9691
10023,40.7755,-73.9818
10024,40.7921,-73.9746
10025,40.7987,-73.9663
10026,40.8017,-73.9520
10027,40.8114,-73.9535
10028,40.7764,-73.9533
10029,40.7919,-73.9438
10030,40.8183,-73.9444
10031,40.8252,-73.9491
10032,40.8382,-73.9429
10033,40.8503,-73.9343
10034,40.8662,-73.9218
10035,40.7953,-73.9295
10036,40.7586,-73.9904
10037,40.8130,-73.9372
10038,40.7092,-74.0020
10039,40.8289,-73.9362
10040,40.8583,-73.9302
90001,33.9731,-118.2479
90002,33.9493,-118.2468
90003,33.9643,-118.2728
90004,34.0766,-118.3089
90005,34.0596,-118.3080
90006,34.0484,-118.2935
90007,34.0229,-118.2851
90008,34.0104,-118.3416
90010,34.0622,-118.3089
90011,34.0072,-118.2584
90012,34.0631,-118.2391
90013,34.0420,-118.2494
90014,34.0434,-118.2526
90015,34.0399,-118.2664
90016,34.0296,-118.3517
90017,34.0522,-118.2637
90018,34.0263,-118.3089
90019,34.0352,-118.3425
90020,34.0660,-118.3089
90021,34.0324,-118.2291
90022,34.0241,-118.1551
90023,34.0216,-118.2062
90024,34.0633,-118.4456
90025,34.0417,-118.4431
90026,34.0778,-118.2606
90027,34.1047,-118.2923
90028,34.0966,-118.3287
90029,34.0905,-118.2937
90031,34.0802,-118.2056
94102,37.7799,-122.4193
94103,37.7726,-122.4099
94104,37.7911,-122.4028
94105,37.7857,-122.3922
94107,37.7629,-122.3997
94108,37.7928,-122.4070
94109,37.7921,-122.4197
94110,37.7489,-122.4149
94111,37.7985,-122.3977
94112,37.7213,-122.4424
94114,37.7575,-122.4368
94115,37.7861,-122.4364
